,url,group,duration,nbytes,throughput,test_type,kerchunk,iteration,file_type
91,s3://mast/test/perf/data/30420.h5,efm,8.881955862045288,4079236,459272.26653214375,load,False,3,h5
92,s3://mast/test/perf/data/30420.h5,rbb,0.0646200180053711,82004208,1269021744.8281114,open,True,3,h5
93,s3://mast/test/perf/data/30420.h5,rbb,6.431158781051636,82004208,12751078.116996905,open,False,3,h5
94,s3://mast/test/perf/data/30420.h5,rbb,19.438185214996338,82004208,4218717.287287431,load,True,3,h5
95,s3://mast/test/perf/data/30420.h5,rbb,26.869809865951538,82004208,3051908.755927328,load,False,3,h5
96,s3://mast/test/perf/data/30420.nc,efm,0.1607959270477295,4079280,25369299.303141776,open,True,4,nc
97,s3://mast/test/perf/data/30420.nc,efm,8.61747407913208,4079236,473367.94547235186,open,False,4,nc
98,s3://mast/test/perf/data/30420.nc,efm,0.45351386070251465,4079280,8994829.824343186,load,True,4,nc
99,s3://mast/test/perf/data/30420.nc,efm,8.517337083816528,4079236,478933.25811312586,load,False,4,nc
100,s3://mast/test/perf/data/30420.nc,rbb,0.20864200592041016,82004208,393037862.3338285,open,True,4,nc
101,s3://mast/test/perf/data/30420.nc,rbb,5.990064859390259,82004208,13690036.73999406,open,False,4,nc
102,s3://mast/test/perf/data/30420.nc,rbb,20.164987087249756,82004208,4066663.055383306,load,True,4,nc
103,s3://mast/test/perf/data/30420.nc,rbb,26.51540207862854,82004208,3092700.9048109264,load,False,4,nc
104,s3://mast/test/perf/data/30420.zarr,efm,1.3452837467193604,4079236,3032249.523528191,open,True,4,zarr
105,s3://mast/test/perf/data/30420.zarr,efm,1.1325139999389648,4079236,3601929.8659617845,open,False,4,zarr
106,s3://mast/test/perf/data/30420.zarr,efm,1.4023959636688232,4079236,2908761.9371980126,load,True,4,zarr
107,s3://mast/test/perf/data/30420.zarr,efm,1.1798169612884521,4079236,3457515.9824326956,load,False,4,zarr
108,s3://mast/test/perf/data/30420.zarr,rbb,0.10866093635559082,82004208,754679747.390017,open,True,4,zarr
109,s3://mast/test/perf/data/30420.zarr,rbb,0.07646012306213379,82004208,1072509495.3530341,open,False,4,zarr
110,s3://mast/test/perf/data/30420.zarr,rbb,14.65460205078125,82004208,5595799.034039842,load,True,4,zarr
111,s3://mast/test/perf/data/30420.zarr,rbb,11.368908882141113,82004208,7213023.593567239,load,False,4,zarr
112,s3://mast/test/perf/data/30420.h5,efm,0.12275910377502441,4079280,33229959.11957723,open,True,4,h5
113,s3://mast/test/perf/data/30420.h5,efm,8.644561767578125,4079236,471884.6495260622,open,False,4,h5
114,s3://mast/test/perf/data/30420.h5,efm,0.45630598068237305,4079280,8939790.782272298,load,True,4,h5
115,s3://mast/test/perf/data/30420.h5,efm,11.144970893859863,4079236,366015.85045389284,load,False,4,h5
116,s3://mast/test/perf/data/30420.h5,rbb,0.08220505714416504,82004208,997556730.0705988,open,True,4,h5
117,s3://mast/test/perf/data/30420.h5,rbb,6.2088892459869385,82004208,13207548.846680218,open,False,4,h5
118,s3://mast/test/perf/data/30420.h5,rbb,19.523261070251465,82004208,4200333.525476119,load,True,4,h5
119,s3://mast/test/perf/data/30420.h5,rbb,26.526187658309937,82004208,3091443.4089178396,load,False,4,h5
120,s3://mast/test/perf/data/30420.nc,efm,0.12319493293762207,4079280,33112400.83279629,open,True,5,nc
121,s3://mast/test/perf/data/30420.nc,efm,8.512045860290527,4079236,479230.9706682866,open,False,5,nc
122,s3://mast/test/perf/data/30420.nc,efm,1.5412299633026123,4079280,2646769.2019552668,load,True,5,nc
123,s3://mast/test/perf/data/30420.nc,efm,8.617515087127686,4079236,473365.69286583696,load,False,5,nc
124,s3://mast/test/perf/data/30420.nc,rbb,0.07829594612121582,82004208,1047362118.5066612,open,True,5,nc
125,s3://mast/test/perf/data/30420.nc,rbb,5.959191083908081,82004208,13760962.997384042,open,False,5,nc
126,s3://mast/test/perf/data/30420.nc,rbb,19.43724513053894,82004208,4218921.326004095,load,True,5,nc
127,s3://mast/test/perf/data/30420.nc,rbb,26.280395030975342,82004208,3120356.748950915,load,False,5,nc
128,s3://mast/test/perf/data/30420.zarr,efm,1.1635677814483643,4079236,3505800.061705322,open,True,5,zarr
129,s3://mast/test/perf/data/30420.zarr,efm,1.0351662635803223,4079236,3940657.7894947766,open,False,5,zarr
130,s3://mast/test/perf/data/30420.zarr,efm,1.2853467464447021,4079236,3173646.3419565638,load,True,5,zarr
131,s3://mast/test/perf/data/30420.zarr,efm,1.114225149154663,4079236,3661051.8108434565,load,False,5,zarr
132,s3://mast/test/perf/data/30420.zarr,rbb,0.17528390884399414,82004208,467836486.1944358,open,True,5,zarr
133,s3://mast/test/perf/data/30420.zarr,rbb,0.12092900276184082,82004208,678118616.1065115,open,False,5,zarr
134,s3://mast/test/perf/data/30420.zarr,rbb,14.015318870544434,82004208,5851041.189818787,load,True,5,zarr
135,s3://mast/test/perf/data/30420.zarr,rbb,11.589489936828613,82004208,7075739.178081542,load,False,5,zarr
136,s3://mast/test/perf/data/30420.h5,efm,0.14157700538635254,4079280,28813153.58287149,open,True,5,h5
137,s3://mast/test/perf/data/30420.h5,efm,8.763637065887451,4079236,465472.9502524093,open,False,5,h5
138,s3://mast/test/perf/data/30420.h5,efm,0.45972704887390137,4079280,8873265.147204569,load,True,5,h5
139,s3://mast/test/perf/data/30420.h5,efm,8.915483713150024,4079236,457545.11266542616,load,False,5,h5
140,s3://mast/test/perf/data/30420.h5,rbb,0.08448100090026855,82004208,970682249.5723926,open,True,5,h5
141,s3://mast/test/perf/data/30420.h5,rbb,6.046648263931274,82004208,13561927.934383327,open,False,5,h5
142,s3://mast/test/perf/data/30420.h5,rbb,19.72435212135315,82004208,4157510.852345008,load,True,5,h5
143,s3://mast/test/perf/data/30420.h5,rbb,27.275728940963745,82004208,3006490.0621901588,load,False,5,h5
144,s3://mast/test/perf/data/30420.nc,efm,0.1684417724609375,4079280,24217745.636380106,open,True,6,nc
145,s3://mast/test/perf/data/30420.nc,efm,9.159924983978271,4079236,445335.08812954667,open,False,6,nc
146,s3://mast/test/perf/data/30420.nc,efm,0.48311924934387207,4079280,8443629.612233628,load,True,6,nc
147,s3://mast/test/perf/data/30420.nc,efm,8.783212900161743,4079236,464435.51424386865,load,False,6,nc
148,s3://mast/test/perf/data/30420.nc,rbb,0.13737702369689941,82004208,596928116.4580277,open,True,6,nc
149,s3://mast/test/perf/data/30420.nc,rbb,6.154766798019409,82004208,13323690.513568895,open,False,6,nc
150,s3://mast/test/perf/data/30420.nc,rbb,20.01713991165161,82004208,4096699.5465854164,load,True,6,nc
151,s3://mast/test/perf/data/30420.nc,rbb,27.07597589492798,82004208,3028670.446384962,load,False,6,nc
152,s3://mast/test/perf/data/30420.zarr,efm,1.173724889755249,4079236,3475461.7846185598,open,True,6,zarr
153,s3://mast/test/perf/data/30420.zarr,efm,1.0128378868103027,4079236,4027531.012733543,open,False,6,zarr
154,s3://mast/test/perf/data/30420.zarr,efm,1.43784499168396,4079236,2837048.5160730183,load,True,6,zarr
155,s3://mast/test/perf/data/30420.zarr,efm,1.4348349571228027,4079236,2843000.1511671226,load,False,6,zarr
156,s3://mast/test/perf/data/30420.zarr,rbb,0.1548910140991211,82004208,529431668.3053166,open,True,6,zarr
157,s3://mast/test/perf/data/30420.zarr,rbb,0.1263139247894287,82004208,649209563.685911,open,False,6,zarr
158,s3://mast/test/perf/data/30420.zarr,rbb,14.493285179138184,82004208,5658082.828456165,load,True,6,zarr
159,s3://mast/test/perf/data/30420.zarr,rbb,14.361232042312622,82004208,5710109.533666073,load,False,6,zarr
160,s3://mast/test/perf/data/30420.h5,efm,0.13950896263122559,4079280,29240271.901261743,open,True,6,h5
161,s3://mast/test/perf/data/30420.h5,efm,8.976080179214478,4079236,454456.2791947994,open,False,6,h5
162,s3://mast/test/perf/data/30420.h5,efm,0.5154619216918945,4079280,7913833.841713522,load,True,6,h5
